use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct,param_profile
UC2,std,DB1,512,6,encrypt,13.289,7139128,0,0,false,full
UC2,std,DB1,512,6,eval,74.386,35507048,0,0,false,full
UC2,std,DB1,512,6,decrypt,3.967,1186384,2097152,1,true,full
UC2,std_modsw,DB1,512,6,setup,229.785,65319072,0,0,false,full
UC2,std_modsw,DB1,512,6,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,6,encrypt,13.265,7139128,0,0,false,full
UC2,std_modsw,DB1,512,6,eval,73.347,35507048,0,0,false,full
UC2,std_modsw,DB1,512,6,decrypt,6.991,25997000,1048576,1,true,full
UC2,label,DB1,512,6,setup,232.961,70172808,0,0,false,full
UC2,label,DB1,512,6,precomp,0.000,0,0,0,false,full
UC2,label,DB1,512,6,encrypt,14.991,12598688,0,0,false,full
UC2,label,DB1,512,6,eval,94.456,41632240,0,0,false,full
UC2,label,DB1,512,6,decrypt,3.826,4469280,1048576,1,true,full
UC2,std,DB1,512,7,setup,230.551,70304456,0,0,false,full
UC2,std,DB1,512,7,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,7,encrypt,12.610,7139128,0,0,false,full
UC2,std,DB1,512,7,eval,72.910,35507048,0,0,false,full
UC2,std,DB1,512,7,decrypt,4.203,1186384,2097152,1,true,full
UC2,std_modsw,DB1,512,7,setup,228.302,73718752,0,0,false,full
UC2,std_modsw,DB1,512,7,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,7,encrypt,13.161,7139128,0,0,false,full
UC2,std_modsw,DB1,512,7,eval,73.195,35507048,0,0,false,full
UC2,std_modsw,DB1,512,7,decrypt,6.194,25996984,1048576,1,true,full
UC2,label,DB1,512,7,setup,236.393,54281120,0,0,false,full
UC2,label,DB1,512,7,precomp,0.000,0,0,0,false,full
UC2,label,DB1,512,7,encrypt,15.095,12598224,0,0,false,full
UC2,label,DB1,512,7,eval,98.265,41631728,0,0,false,full
UC2,label,DB1,512,7,decrypt,3.267,4469504,1048576,1,true,full
UC2,std,DB1,512,8,setup,229.473,68465776,0,0,false,full
UC2,std,DB1,512,8,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,8,encrypt,13.818,7139128,0,0,false,full
UC2,std,DB1,512,8,eval,74.144,35507048,0,0,false,full
UC2,std,DB1,512,8,decrypt,4.102,1186608,2097152,1,true,full
UC2,std_modsw,DB1,512,8,setup,233.516,70303880,0,0,false,full
UC2,std_modsw,DB1,512,8,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,8,encrypt,13.915,7139128,0,0,false,full
UC2,std_modsw,DB1,512,8,eval,73.686,35507048,0,0,false,full
UC2,std_modsw,DB1,512,8,decrypt,5.943,25988968,1048576,1,true,full
UC2,label,DB1,512,8,setup,236.362,75557192,0,0,false,full
UC2,label,DB1,512,8,precomp,0.000,0,0,0,false,full
UC2,label,DB1,512,8,encrypt,14.908,12598288,0,0,false,full
UC2,label,DB1,512,8,eval,95.953,41631808,0,0,false,full
UC2,label,DB1,512,8,decrypt,3.868,4469280,1048576,1,true,full
UC2,std,DB1,512,9,setup,229.398,65319072,0,0,false,full
UC2,std,DB1,512,9,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,9,encrypt,12.737,7139128,0,0,false,full
UC2,std,DB1,512,9,eval,74.637,35507048,0,0,false,full
UC2,std,DB1,512,9,decrypt,4.211,1186608,2097152,1,true,full
UC2,std_modsw,DB1,512,9,setup,230.521,59798344,0,0,false,full
UC2,std_modsw,DB1,512,9,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,9,encrypt,14.139,7139128,0,0,false,full
UC2,std_modsw,DB1,512,9,eval,74.163,35507048,0,0,false,full
UC2,std_modsw,DB1,512,9,decrypt,6.168,25996984,1048576,1,true,full
UC2,label,DB1,512,9,setup,231.619,64786992,0,0,false,full
UC2,label,DB1,512,9,precomp,0.000,0,0,0,false,full
UC2,label,DB1,512,9,encrypt,15.237,12598784,0,0,false,full
UC2,label,DB1,512,9,eval,96.767,61996256,0,0,false,full
UC2,label,DB1,512,9,decrypt,3.509,4469280,1048576,1,true,full
UC2,std,DB1,512,10,setup,229.110,68465664,0,0,false,full
UC2,std,DB1,512,10,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,10,encrypt,13.444,7139128,0,0,false,full
UC2,std,DB1,512,10,eval,74.789,35507048,0,0,false,full
UC2,std,DB1,512,10,decrypt,4.156,1186384,2097152,1,true,full
UC2,std_modsw,DB1,512,10,setup,232.697,65319072,0,0,false,full
UC2,std_modsw,DB1,512,10,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,10,encrypt,12.775,7139128,0,0,false,full
UC2,std_modsw,DB1,512,10,eval,74.061,35507048,0,0,false,full
UC2,std_modsw,DB1,512,10,decrypt,6.771,25997000,1048576,1,true,full
UC2,label,DB1,512,10,setup,231.473,68465776,0,0,false,full
UC2,label,DB1,512,10,precomp,0.000,0,0,0,false,full
UC2,label,DB1,512,10,encrypt,14.850,12598608,0,0,false,full
UC2,label,DB1,512,10,eval,97.264,61996144,0,0,false,full
UC2,label,DB1,512,10,decrypt,3.379,4469392,1048576,1,true,full
UC2,std,DB1,512,11,setup,233.302,75557416,0,0,false,full
UC2,std,DB1,512,11,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,11,encrypt,13.372,7139128,0,0,false,full
UC2,std,DB1,512,11,eval,74.915,35507048,0,0,false,full
UC2,std,DB1,512,11,decrypt,4.619,1186384,2097152,1,true,full
UC2,std_modsw,DB1,512,11,setup,237.072,70304456,0,0,false,full
UC2,std_modsw,DB1,512,11,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,11,encrypt,12.560,7139128,0,0,false,full
UC2,std_modsw,DB1,512,11,eval,72.764,35507048,0,0,false,full
UC2,std_modsw,DB1,512,11,decrypt,6.151,25996984,1048576,1,true,full
UC2,label,DB1,512,11,setup,237.927,70039808,0,0,false,full
UC2,label,DB1,512,11,precomp,0.000,0,0,0,false,full
UC2,label,DB1,512,11,encrypt,14.704,12598496,0,0,false,full
UC2,label,DB1,512,11,eval,96.123,41631696,0,0,false,full
UC2,label,DB1,512,11,decrypt,3.778,4469280,1048576,1,true,full
UC2,std,DB1,512,12,setup,228.690,68465776,0,0,false,full
UC2,std,DB1,512,12,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,12,encrypt,12.725,7139128,0,0,false,full
UC2,std,DB1,512,12,eval,74.636,35507048,0,0,false,full
UC2,std,DB1,512,12,decrypt,3.744,1186496,2097152,1,true,full
UC2,std_modsw,DB1,512,12,setup,234.693,70039856,0,0,false,full
UC2,std_modsw,DB1,512,12,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,12,encrypt,12.728,7139128,0,0,false,full
UC2,std_modsw,DB1,512,12,eval,73.288,35507048,0,0,false,full
UC2,std_modsw,DB1,512,12,decrypt,5.724,25996984,1048576,1,true,full
UC2,label,DB1,512,12,setup,232.705,75557048,0,0,false,full
UC2,label,DB1,512,12,precomp,0.001,0,0,0,false,full
UC2,label,DB1,512,12,encrypt,14.479,12598080,0,0,false,full
UC2,label,DB1,512,12,eval,96.971,20871480,0,0,false,full
UC2,label,DB1,512,12,decrypt,3.031,4469280,1048576,1,true,full
UC2,std,DB1,512,13,setup,225.319,68465664,0,0,false,full
UC2,std,DB1,512,13,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,13,encrypt,13.489,7139128,0,0,false,full
UC2,std,DB1,512,13,eval,74.732,35507048,0,0,false,full
UC2,std,DB1,512,13,decrypt,4.172,1186384,2097152,1,true,full
UC2,std_modsw,DB1,512,13,setup,230.597,68465664,0,0,false,full
UC2,std_modsw,DB1,512,13,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,13,encrypt,12.924,7139128,0,0,false,full
UC2,std_modsw,DB1,512,13,eval,73.765,35507048,0,0,false,full
UC2,std_modsw,DB1,512,13,decrypt,5.816,25997208,1048576,1,true,full
UC2,label,DB1,512,13,setup,236.917,54281264,0,0,false,full
UC2,label,DB1,512,13,precomp,0.000,0,0,0,false,full
