use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct,param_profile
UC4,std,DB1,512,1,setup,244.718,68469272,0,0,false,full
UC4,std,DB1,512,1,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,1,encrypt,14.521,7139128,0,0,false,full
UC4,std,DB1,512,1,eval,281.474,53245048,0,0,false,full
UC4,std,DB1,512,1,decrypt,9.366,6309208,4194304,1,true,full
UC4,label_compact,DB1,512,1,setup,214.827,51134816,0,0,false,full
UC4,label_compact,DB1,512,1,precomp,0.000,0,0,0,false,full
UC4,label_compact,DB1,512,1,encrypt,15.383,12598480,0,0,false,full
UC4,label_compact,DB1,512,1,eval,256.393,44513768,0,0,false,full
UC4,label_compact,DB1,512,1,decrypt,17.778,-1570352,7340032,1,true,full
UC4,label_compact_max,DB1,512,1,setup,215.422,51267448,0,0,false,full
UC4,label_compact_max,DB1,512,1,precomp,0.000,0,0,0,false,full
UC4,label_compact_max,DB1,512,1,encrypt,16.113,12598448,0,0,false,full
UC4,label_compact_max,DB1,512,1,eval,403.438,48184152,0,0,false,full
UC4,label_compact_max,DB1,512,1,decrypt,23.854,-1832496,10485760,1,true,full
UC4,label_compact_mb,DB1,512,1,setup,213.324,72410152,0,0,false,full
UC4,label_compact_mb,DB1,512,1,precomp,0.000,0,0,0,false,full
UC4,label_compact_mb,DB1,512,1,encrypt,15.498,11967856,0,0,false,full
UC4,label_compact_mb,DB1,512,1,eval,264.823,85637584,0,0,false,full
UC4,label_compact_mb,DB1,512,1,decrypt,22.180,-1570464,7340032,1,true,full
UC4,std,DB1,512,2,setup,238.110,68471576,0,0,false,full
UC4,std,DB1,512,2,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,2,encrypt,13.547,7139128,0,0,false,full
UC4,std,DB1,512,2,eval,280.625,54298520,0,0,false,full
UC4,std,DB1,512,2,decrypt,8.752,4860792,4194304,1,true,full
UC4,label_compact,DB1,512,2,setup,215.487,72145776,0,0,false,full
UC4,label_compact,DB1,512,2,precomp,0.000,0,0,0,false,full
UC4,label_compact,DB1,512,2,encrypt,14.625,12598608,0,0,false,full
UC4,label_compact,DB1,512,2,eval,265.301,65273904,0,0,false,full
UC4,label_compact,DB1,512,2,decrypt,22.016,-1570448,7340032,1,true,full
UC4,label_compact_max,DB1,512,2,setup,217.034,51134720,0,0,false,full
UC4,label_compact_max,DB1,512,2,precomp,0.000,0,0,0,false,full
UC4,label_compact_max,DB1,512,2,encrypt,15.881,12598496,0,0,false,full
UC4,label_compact_max,DB1,512,2,eval,395.870,48184360,0,0,false,full
UC4,label_compact_max,DB1,512,2,decrypt,25.000,5258064,10485760,1,true,full
UC4,label_compact_mb,DB1,512,2,setup,218.726,70571856,0,0,false,full
UC4,label_compact_mb,DB1,512,2,precomp,0.000,0,0,0,false,full
UC4,label_compact_mb,DB1,512,2,encrypt,15.325,11966928,0,0,false,full
UC4,label_compact_mb,DB1,512,2,eval,261.360,44513448,0,0,false,full
UC4,label_compact_mb,DB1,512,2,decrypt,19.245,16675624,7340032,1,true,full
UC4,std,DB1,512,3,setup,246.118,68465664,0,0,false,full
UC4,std,DB1,512,3,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,3,encrypt,13.158,7139128,0,0,false,full
UC4,std,DB1,512,3,eval,279.469,52191448,0,0,false,full
UC4,std,DB1,512,3,decrypt,8.410,6306136,4194304,1,true,full
UC4,label_compact,DB1,512,3,setup,214.044,51134688,0,0,false,full
UC4,label_compact,DB1,512,3,precomp,0.000,0,0,0,false,full
UC4,label_compact,DB1,512,3,encrypt,15.962,12598256,0,0,false,full
UC4,label_compact,DB1,512,3,eval,261.811,24150312,0,0,false,full
UC4,label_compact,DB1,512,3,decrypt,19.274,-1570464,7340032,1,true,full
UC4,label_compact_max,DB1,512,3,setup,212.436,51398632,0,0,false,full
UC4,label_compact_max,DB1,512,3,precomp,0.000,0,0,0,false,full
UC4,label_compact_max,DB1,512,3,encrypt,15.395,12598384,0,0,false,full
UC4,label_compact_max,DB1,512,3,eval,396.644,26772344,0,0,false,full
UC4,label_compact_max,DB1,512,3,decrypt,23.998,1846800,10485760,1,true,full
UC4,label_compact_mb,DB1,512,3,setup,211.191,51134704,0,0,false,full
UC4,label_compact_mb,DB1,512,3,precomp,0.000,0,0,0,false,full
UC4,label_compact_mb,DB1,512,3,encrypt,16.000,11968032,0,0,false,full
UC4,label_compact_mb,DB1,512,3,eval,264.540,44513464,0,0,false,full
UC4,label_compact_mb,DB1,512,3,decrypt,18.223,4733296,7340032,1,true,full
UC4,std,DB1,512,4,setup,242.692,54414104,0,0,false,full
UC4,std,DB1,512,4,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,4,encrypt,15.123,7139128,0,0,false,full
UC4,std,DB1,512,4,eval,281.379,54298568,0,0,false,full
UC4,std,DB1,512,4,decrypt,8.874,4860792,4194304,1,true,full
UC4,label_compact,DB1,512,4,setup,208.659,61640048,0,0,false,full
UC4,label_compact,DB1,512,4,precomp,0.000,0,0,0,false,full
UC4,label_compact,DB1,512,4,encrypt,15.093,12598272,0,0,false,full
UC4,label_compact,DB1,512,4,eval,267.003,24150312,0,0,false,full
UC4,label_compact,DB1,512,4,decrypt,18.236,16679576,7340032,1,true,full
