use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct
UC1,label,DB1,512,9,setup,13.873,10013392,0,0,false
UC1,label,DB1,512,9,encrypt,20.141,11306696,0,0,false
UC1,label,DB1,512,9,eval,2.025,20216280,0,0,false
UC1,label,DB1,512,9,decrypt,3.429,3417800,1048576,1,true
UC1,std,DB1,512,10,precomp,0.001,0,0,0,false
UC1,std,DB1,512,10,setup,12.032,9996152,0,0,false
UC1,std,DB1,512,10,encrypt,15.847,7256992,0,0,false
UC1,std,DB1,512,10,eval,1.496,20085616,0,0,false
UC1,std,DB1,512,10,decrypt,3.988,1185728,2097152,1,true
UC1,label,DB1,512,10,precomp,0.002,0,0,0,false
UC1,label,DB1,512,10,setup,12.561,5511496,0,0,false
UC1,label,DB1,512,10,encrypt,18.079,11306808,0,0,false
UC1,label,DB1,512,10,eval,2.221,20216280,0,0,false
UC1,label,DB1,512,10,decrypt,3.862,3418248,1048576,1,true
UC1,std,DB1,512,11,precomp,0.003,0,0,0,false
UC1,std,DB1,512,11,setup,14.006,13146552,0,0,false
UC1,std,DB1,512,11,encrypt,17.121,7257200,0,0,false
UC1,std,DB1,512,11,eval,1.836,20084960,0,0,false
UC1,std,DB1,512,11,decrypt,5.067,1186608,2097152,1,true
UC1,label,DB1,512,11,precomp,0.003,0,0,0,false
UC1,label,DB1,512,11,setup,12.422,10013392,0,0,false
UC1,label,DB1,512,11,encrypt,20.925,6055960,0,0,false
UC1,label,DB1,512,11,eval,2.109,20216280,0,0,false
UC1,label,DB1,512,11,decrypt,3.311,3417768,1048576,1,true
UC1,std,DB1,512,12,precomp,0.004,0,0,0,false
UC1,std,DB1,512,12,setup,14.146,5511384,0,0,false
UC1,std,DB1,512,12,encrypt,16.479,7257200,0,0,false
UC1,std,DB1,512,12,eval,1.401,20070144,0,0,false
UC1,std,DB1,512,12,decrypt,4.499,1185936,2097152,1,true
UC1,label,DB1,512,12,precomp,0.005,0,0,0,false
UC1,label,DB1,512,12,setup,12.263,10013392,0,0,false
UC1,label,DB1,512,12,encrypt,19.460,11306728,0,0,false
UC1,label,DB1,512,12,eval,1.811,20216280,0,0,false
UC1,label,DB1,512,12,decrypt,4.012,3417800,1048576,1,true
UC1,std,DB1,512,13,precomp,0.005,0,0,0,false
UC1,std,DB1,512,13,setup,11.831,10013392,0,0,false
UC1,std,DB1,512,13,encrypt,15.650,6714576,0,0,false
UC1,std,DB1,512,13,eval,1.634,20085616,0,0,false
